,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI,Dandhy_Laksono,bernamadotcom,dr_koko28,ferdiriva,hmetromy,Aryprasetyo85,BurhanMuhtadi,habibthink,BNPTRI,ismailfahmi,ChusnulCh__,tirta_hudhi,KakekHalal,NgkongRoses,detiksport,MuhyiddinYassin,PDI_Perjuangan,eko_kuntadhi,KemenBUMN,seruanhl,kompasiana,Andrazahira,asumsico,msaid_didu,Parapat_Nixon,GOAL_ID,DPR_RI,sahaL_AS,PerekonomianRI,P3nj3l4j4h_id,ainunnajib,narkosun,BadmintonTalk,merdekadotcom,BANGSAygSUJUD,BiLLRaY2019,SCTV,dewi_darmawati,okezonenews,Ch_Chotlmah,kempanrb,_TNIAL_,rmol_id,Jinggaviolet3,jawapos,mojokdotco,arjuno_ireng01,mazzini_gsp,bank_indonesia,n1ckeff
eko_kuntadhi,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,245453,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,355823,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KemenBUMN,362133.334,inf,inf,367721.0007,390006.334,403900.5557,362438.334,407458.5557,364332.334,inf,364391.334,374749.334,inf,411448.0254,inf,473492.5557,363359.334,423012.834,81968.33594,inf,inf,384432.334,364421.334,inf,560906.0059,443335.1699,363419.334,531681.0527,405560.7168,363557.334,372242.334,inf,405391.334,419417.5557,363527.334,inf,362485.334,362437.334,inf,411340.0254,381291.4336,603430.0996,inf,inf,363408.6673,inf,408745.334,inf,366697.6675,420746.5557,413900.834,394267.334,398739.334,370845.084,389481.334,inf,414712.584,554899.8601,367659.334,438142.834,396800.6673,486904.8848,363058.334,362538.334,370707.4766,590702.5527,inf,446343.0254,0,inf,366956.834,inf,635655.584,99083.33594,397928.6673,inf,inf,243831.3359,393507.334,362691.334,379114.8896,367920.0007,375978.4766,inf,369576.0483,inf,374378.334,363005.334,inf,inf,28627.33398,415054.5557,368608.834,inf,363443.334,184233.3359,inf,491784.6699,inf,363695.334
seruanhl,315485.2227,inf,inf,8362.666748,343358.2227,44542.22168,315790.2227,48100.22168,4974,683,317743.2227,328101.2227,inf,60390.22168,inf,114134.2217,4001,67933,210702.3359,inf,inf,337784.2227,317773.2227,inf,242140.2031,92290.5,4061,182753.7031,52278.69141,4199,14594.28613,inf,46033,60059.22168,316879.2227,inf,3127,315789.2227,inf,51981.69141,24722.42773,405838.2031,inf,inf,1571.333313,inf,49387,462.3333435,320049.5562,61388.22168,54542.5,39187.5,39381,11486.75,342833.2227,319,55354.25,195541.5261,8301,80494.78613,34963.33331,127546.5508,1221,701,324059.3652,241775.2031,inf,95285.22168,128734,0,7598.5,inf,276297.25,138518.2813,36091.33331,inf,inf,143938.9271,34149,1439.15387,19756.55566,4179.549805,329330.3652,inf,8529.10144,421,327730.2227,1699.785706,inf,inf,157006.0313,55696.22168,9250.5,inf,4085,212894.5781,83,132426.3359,inf,2648.387085
kompasiana,371285.1765,inf,inf,2278,399158.1765,40826.83276,371590.1765,44384.83276,373484.1765,inf,373543.1765,383901.1765,inf,56674.83276,inf,110418.8328,372511.1765,432164.6765,218047.9187,inf,inf,393584.1765,373573.1765,inf,263128.3328,99194.83276,372571.1765,203741.8328,414712.5593,372709.1765,12934.66675,inf,414543.1765,56343.83276,372679.1765,inf,371637.1765,371589.1765,inf,53365.16675,23351.16675,426826.3328,inf,inf,372560.5098,inf,417897.1765,inf,375849.51,57672.83276,61446.83276,403419.1765,68541.16675,6140.666748,398633.1765,inf,51804.83276,189456.8594,376811.1765,78835.16675,47467.19922,128930.0261,372210.1765,371690.1765,379859.3191,262763.3328,inf,91569.83276,136079.5828,inf,0,inf,644807.4265,181338.3386,48595.19922,inf,inf,143218.9375,402659.1765,371843.1765,16041.16675,2477,385130.3191,inf,378727.8909,inf,383530.1765,372157.1765,inf,inf,164706.9167,51980.83276,377760.6765,inf,372595.1765,209345.1609,inf,142591.7683,inf,372847.1765
Andrazahira,421162.8438,inf,inf,426750.5105,449035.8438,90704.5,421467.8438,94262.5,423361.8438,inf,423420.8438,433778.8438,inf,106552.5,inf,160296.5,422388.8438,482042.3438,267925.5859,inf,inf,443461.8438,423450.8438,inf,313006,149072.5,422448.8438,253619.5,464590.2266,422586.8438,431271.8438,inf,464420.8438,106221.5,422556.8438,inf,421514.8438,421466.8438,inf,470369.5352,36510,476704,inf,inf,680,inf,467774.8438,inf,425727.1772,107550.5,111324.5,453296.8438,457768.8438,429874.5938,448510.8438,inf,101682.5,228206.8281,426688.8438,80141.66797,34072,203295.9531,422087.8438,421567.8438,429736.9863,312641,inf,99442.66797,185957.25,inf,425986.3438,0,694685.0938,268714.668,35200,inf,inf,143047.5938,452536.8438,1041.5,438144.3994,6377.5,435007.9863,inf,8963.714355,inf,433407.8438,1355.5,inf,inf,214584.584,101858.5,427638.3438,inf,422472.8438,259222.8281,inf,181800.668,inf,3083
asumsico,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
msaid_didu,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Parapat_Nixon,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
GOAL_ID,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,182935,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
DPR_RI,370404.1765,inf,inf,1397,398277.1765,39945.83276,370709.1765,43503.83276,372603.1765,inf,372662.1765,383020.1765,inf,55793.83276,inf,109537.8328,371630.1765,431283.6765,217166.9187,inf,inf,392703.1765,372692.1765,inf,262247.3328,85426,371690.1765,202860.8328,413831.5593,371828.1765,12053.66675,inf,80302,55462.83276,371798.1765,inf,370756.1765,370708.1765,inf,52484.16675,22470.16675,425945.3328,inf,inf,371679.5098,inf,83656,inf,374968.51,56791.83276,60565.83276,402538.1765,67660.16675,5259.666748,397752.1765,inf,50923.83276,188575.8594,375930.1765,77954.16675,46586.19922,128049.0261,371329.1765,370809.1765,378978.3191,261882.3328,inf,90688.83276,135198.5828,inf,375227.6765,inf,643926.4265,173404,47714.19922,inf,0,142337.9375,68418,370962.1765,15160.16675,1596,384249.3191,inf,377846.8909,inf,382649.1765,371276.1765,inf,inf,163825.9167,51099.83276,1173,inf,371714.1765,208464.1609,inf,141710.7683,inf,371966.1765
sahaL_AS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PerekonomianRI,341568.8438,inf,inf,347156.5105,369441.8438,15832,341873.8438,19390,343767.8438,inf,343826.8438,354184.8438,inf,31680,inf,85424,342794.8438,402448.3438,193053.0859,inf,inf,363867.8438,343856.8438,inf,238133.5,69478.5,342854.8438,178747,384996.2266,342992.8438,351677.8438,inf,11884,31349,342962.8438,inf,341920.8438,341872.8438,inf,390775.5352,360726.9434,401831.5,inf,inf,342844.1771,inf,15238,inf,346133.1772,27956.5,36452,373702.8438,5232,350280.5938,368916.8438,inf,26810,175381.3281,347094.8438,73057.5,376236.1771,125111.3359,342493.8438,341973.8438,350142.9863,237768.5,inf,66575,111084.75,inf,346392.3438,inf,615091.0938,185191.3281,377364.1771,inf,inf,212608.5,0,342126.8438,358550.3994,347355.5105,355413.9863,inf,349011.5581,inf,353813.8438,342440.8438,inf,inf,139712.084,26986,348044.3438,inf,342878.8438,184350.3281,inf,98277.33594,inf,343130.8438
P3nj3l4j4h_id,420121.3438,inf,inf,425709.0105,447994.3438,89663,420426.3438,93221,422320.3438,inf,422379.3438,432737.3438,inf,105511,inf,159255,421347.3438,481000.8438,266884.0859,inf,inf,442420.3438,422409.3438,inf,311964.5,148031,421407.3438,252578,463548.7266,421545.3438,430230.3438,inf,463379.3438,105180,421515.3438,inf,420473.3438,420425.3438,inf,469328.0352,35468.5,475662.5,inf,inf,421396.6771,inf,466733.3438,inf,424685.6772,106509,110283,452255.3438,456727.3438,428833.0938,447469.3438,inf,100641,244461.0273,425647.3438,96395.86719,50326.19922,202254.4531,421046.3438,420526.3438,428695.4863,311599.5,inf,115696.8672,184915.75,inf,424944.8438,inf,693643.5938,283999.0859,46341.5,inf,inf,158738.375,451495.3438,0,437102.8994,5336,433966.4863,inf,7922.214355,inf,432366.3438,314,inf,inf,213543.084,100817,426596.8438,inf,421431.3438,258181.3281,inf,198054.8672,inf,2041.5
ainunnajib,355244.0098,inf,inf,360831.6765,383117.0098,24785.66602,355549.0098,28343.66602,357443.0098,inf,357502.0098,367860.0098,inf,40633.66602,inf,94377.66602,356470.0098,416123.5098,202006.752,inf,inf,377543.0098,357532.0098,inf,247087.166,83153.66602,356530.0098,187700.666,398671.3926,356668.0098,365353.0098,inf,398502.0098,40302.66602,356638.0098,inf,355596.0098,355548.0098,inf,37324,7310,410785.166,inf,inf,356519.3431,inf,401856.0098,inf,359808.3433,41631.66602,45405.66602,387378.0098,52500,363955.7598,382592.0098,inf,35763.66602,184334.9941,360770.0098,86732.66406,43409.5,112888.8594,356169.0098,355649.0098,363818.1523,246722.166,inf,75528.66602,120038.416,inf,360067.5098,inf,628766.2598,178287.3281,44537.5,inf,inf,152385.0938,386618.0098,355802.0098,0,361030.6765,369089.1523,inf,362686.7241,inf,367489.0098,356116.0098,inf,inf,148665.75,35939.66602,361719.5098,inf,356554.0098,193303.9941,inf,126550.6016,inf,356806.0098
narkosun,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,239125.0273,inf,91059.86719,44990.19922,219552.8672,inf,inf,inf,inf,inf,110360.8672,inf,inf,inf,inf,inf,279632.8672,46118.19922,inf,inf,153402.375,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,192718.8672,inf,inf
BadmintonTalk,392539.8438,inf,inf,398127.5105,420412.8438,62081.5,392844.8438,65639.5,394738.8438,inf,394797.8438,405155.8438,inf,77929.5,inf,131673.5,393765.8438,453419.3438,239302.5859,inf,inf,414838.8438,394827.8438,inf,284383,120449.5,393825.8438,224996.5,435967.2266,393963.8438,402648.8438,inf,435797.8438,77598.5,393933.8438,inf,392891.8438,392843.8438,inf,441746.5352,7887,448081,inf,inf,393815.1771,inf,439151.8438,inf,397104.1772,78927.5,82701.5,424673.8438,429145.8438,401251.5938,419887.8438,inf,73059.5,221630.8281,398065.8438,90056.16797,43986.5,196338.25,393464.8438,392944.8438,401113.9863,284018,inf,109357.168,157334.25,inf,397363.3438,inf,666062.0938,256417.5859,45114.5,inf,inf,152962.0938,423913.8438,393097.8438,409521.3994,398326.5105,0,inf,399982.5581,inf,404784.8438,393411.8438,inf,inf,185961.584,73235.5,399015.3438,inf,393849.8438,230599.8281,inf,191715.168,inf,394101.8438
merdekadotcom,375980.4265,inf,inf,6973.25,403853.4265,45522.08276,376285.4265,49080.08276,378179.4265,inf,378238.4265,388596.4265,inf,61370.08276,inf,115114.0828,377206.4265,436859.9265,222743.1687,inf,inf,398279.4265,378268.4265,inf,267823.5828,98460,377266.4265,208437.0828,419407.8093,377404.4265,17629.91675,inf,55404.78516,61039.08276,377374.4265,inf,376332.4265,376284.4265,inf,58060.41675,25850.125,431521.5828,inf,inf,531,inf,58758.78516,inf,380544.76,62368.08276,64167.73828,408114.4265,48752.78516,10835.91675,403328.4265,inf,56500.08276,194152.1094,381506.4265,79992.66797,33923,133625.2761,376905.4265,376385.4265,384554.5691,267458.5828,inf,96265.08276,140774.8328,inf,380803.9265,inf,649502.6765,186033.5886,35051,inf,inf,142898.5938,43520.78516,1603,20736.41675,6939,389825.5691,0,8610.714355,inf,388225.4265,1917,inf,inf,169402.1667,56676.08276,382455.9265,inf,377290.4265,214040.4109,inf,141798.1211,inf,2730
BANGSAygSUJUD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,247975.3281,inf,99910.16797,53840.5,228403.168,inf,inf,inf,inf,inf,119211.168,inf,inf,inf,inf,inf,288483.168,54968.5,inf,inf,162816.0938,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,201569.168,inf,inf
BiLLRaY2019,315264.056,inf,inf,8141.500076,343137.056,44321.05501,315569.056,47879.05501,4752.833328,461.8333282,317522.056,327880.056,inf,60169.05501,inf,113913.055,3779.833328,67711.83333,210481.1693,inf,inf,337563.056,317552.056,inf,241919.0365,92069.33333,3839.833328,182532.5365,52057.52473,3977.833328,14373.11946,inf,45811.83333,59838.05501,316658.056,inf,2905.833328,315568.056,inf,51760.52473,24501.26106,405617.0365,inf,inf,1350.166641,inf,49165.83333,209.5,319828.3895,61167.05501,54321.33333,38966.33333,39159.83333,11265.58333,342612.056,inf,55133.08333,195320.3595,8079.833328,80273.61946,34742.16664,127325.3841,999.8333282,479.8333282,323838.1986,241554.0365,inf,95064.05501,128512.8333,inf,7377.333328,inf,276076.0833,138297.1146,35870.16664,inf,inf,143717.7604,33927.83333,1217.987198,19535.38899,6553.987198,329109.1986,inf,8307.934769,0,327509.056,1478.619034,inf,inf,156784.8646,55475.05501,9029.333328,inf,3863.833328,212673.4115,inf,132205.1693,inf,2427.220413
SCTV,408518.8438,inf,inf,414106.5105,436391.8438,78060.5,408823.8438,81618.5,410717.8438,inf,410776.8438,421134.8438,inf,93908.5,inf,147652.5,409744.8438,469398.3438,255281.5859,inf,inf,430817.8438,410806.8438,inf,300362,136428.5,409804.8438,240975.5,451946.2266,409942.8438,418627.8438,inf,451776.8438,93577.5,409912.8438,inf,408870.8438,408822.8438,inf,457725.5352,23866,464060,inf,inf,409794.1771,inf,455130.8438,inf,413083.1772,94906.5,98680.5,440652.8438,445124.8438,417230.5938,435866.8438,inf,89038.5,237609.8281,414044.8438,106035.168,59965.5,212317.25,409443.8438,408923.8438,417092.9863,299997,inf,125336.168,173313.25,inf,413342.3438,inf,682041.0938,272396.5859,61093.5,inf,inf,168941.0938,439892.8438,409076.8438,425500.3994,414305.5105,422363.9863,inf,415961.5581,inf,0,409390.8438,inf,inf,201940.584,89214.5,414994.3438,inf,409828.8438,246578.8281,inf,207694.168,inf,410080.8438
dewi_darmawati,419807.3438,inf,inf,425395.0105,447680.3438,89349,420112.3438,92907,422006.3438,inf,422065.3438,432423.3438,inf,105197,inf,158941,421033.3438,480686.8438,266570.0859,inf,inf,442106.3438,422095.3438,inf,311650.5,147717,421093.3438,252264,463234.7266,421231.3438,429916.3438,inf,463065.3438,104866,421201.3438,inf,420159.3438,420111.3438,inf,469014.0352,35154.5,475348.5,inf,inf,421082.6771,inf,466419.3438,inf,424371.6772,106195,109969,451941.3438,456413.3438,428519.0938,447155.3438,inf,100327,248898.3281,425333.3438,106157.5664,60087.89844,223605.75,420732.3438,420212.3438,428381.4863,311285.5,inf,125458.5664,184601.75,inf,424630.8438,inf,693329.5938,283685.0859,46027.5,inf,inf,169063.4922,451181.3438,420365.3438,436788.8994,425594.0105,433652.4863,inf,7684.214355,inf,432052.3438,0,inf,inf,213229.084,100503,426282.8438,inf,421117.3438,257867.3281,inf,207816.5664,inf,1803.5
okezonenews,315419.2227,inf,inf,8296.666748,343292.2227,44476.22168,315724.2227,48034.22168,4908,617,317677.2227,328035.2227,inf,60324.22168,inf,114068.2217,3935,67867,210636.3359,inf,inf,337718.2227,317707.2227,inf,242074.2031,85387.25,3995,182687.7031,52212.69141,4133,14528.28613,inf,45967,59993.22168,316813.2227,inf,3061,315723.2227,inf,51915.69141,17798.25,405772.2031,inf,inf,1505.333313,inf,49321,518.25,319983.5562,61322.22168,54476.5,39121.5,39315,11420.75,342767.2227,253,55288.25,195475.5261,8235,80428.78613,34897.33331,127480.5508,1155,635,323993.3652,241709.2031,inf,95219.22168,128668,inf,7532.5,inf,276231.25,138452.2813,36025.33331,inf,inf,143872.9271,34083,1373.15387,19690.55566,6709.15387,329264.3652,inf,8463.10144,433.5,327664.2227,1633.785706,0,inf,156940.0313,55630.22168,9184.5,inf,4019,212828.5781,inf,132360.3359,inf,2582.387085
Ch_Chotlmah,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,253092.3281,inf,105027.168,58957.5,233520.168,inf,inf,inf,inf,inf,124328.168,inf,inf,inf,inf,inf,293600.168,60085.5,inf,inf,167933.0938,inf,inf,inf,inf,inf,inf,5117,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,206686.168,inf,inf
kempanrb,333506,inf,inf,339093.6667,361379,375273.2217,333811,378831.2217,335705,inf,335764,346122,inf,382820.6914,inf,444865.2217,334732,394385.5,541433.3359,inf,inf,355805,335794,inf,532278.6719,414707.8359,334792,503053.7188,376933.3828,334930,343615,inf,376764,390790.2217,334900,inf,333858,333810,inf,382712.6914,352664.0996,574802.7656,inf,inf,334781.3333,inf,380118,inf,338070.3335,392119.2217,385273.5,365640,370112,342217.75,360854,inf,386085.25,526272.5261,339032,409515.5,368173.3333,458277.5508,334431,333911,342080.1426,562075.2188,inf,417715.6914,459465,inf,338329.5,inf,607028.25,469249.2813,369301.3333,inf,inf,477148.9271,364880,334064,350487.5557,339292.6667,347351.1426,inf,340948.7144,inf,345751,334378,inf,inf,0,386427.2217,339981.5,inf,334816,543625.5781,inf,463157.3359,inf,335068
_TNIAL_,492393.834,inf,inf,497981.5007,520266.834,534161.0557,492698.834,537719.0557,494592.834,inf,494651.834,505009.834,inf,541708.5254,inf,58438,493619.834,553273.334,212228.8359,inf,inf,514692.834,494681.834,inf,691166.5059,47214,493679.834,661941.5527,535821.2168,493817.834,502502.834,inf,535651.834,549678.0557,493787.834,inf,492745.834,492697.834,inf,541600.5254,511551.9336,733690.5996,inf,inf,493669.1673,inf,539005.834,inf,496958.1675,551007.0557,544161.334,524527.834,528999.834,501105.584,519741.834,inf,544973.084,315547,497919.834,50793,527061.1673,179286,493318.834,492798.834,500967.9766,720963.0527,inf,70094,130260.5,inf,497217.334,inf,765916.084,229343.8359,528189.1673,inf,inf,190344,523767.834,492951.834,509375.3896,498180.5007,506238.9766,inf,499836.5483,inf,504638.834,493265.834,inf,inf,158887.834,0,498869.334,inf,493703.834,314493.8359,inf,152452,inf,493955.834
rmol_id,411939.8438,inf,inf,417527.5105,439812.8438,81481.5,412244.8438,85039.5,414138.8438,inf,414197.8438,424555.8438,inf,97329.5,inf,151073.5,413165.8438,472819.3438,258702.5859,inf,inf,434238.8438,414227.8438,inf,303783,139849.5,413225.8438,244396.5,455367.2266,413363.8438,422048.8438,inf,455197.8438,96998.5,413333.8438,inf,412291.8438,412243.8438,inf,461146.5352,27287,467481,inf,inf,413215.1771,inf,458551.8438,inf,416504.1772,98327.5,102101.5,444073.8438,72477,420651.5938,439287.8438,inf,92459.5,241030.8281,417465.8438,109456.168,63386.5,192356.3359,412864.8438,412344.8438,420513.9863,303418,inf,128757.168,176734.25,inf,416763.3438,inf,685462.0938,172231,64514.5,inf,inf,172362.0938,443313.8438,412497.8438,428921.3994,417726.5105,425784.9863,inf,419382.5581,inf,424184.8438,412811.8438,inf,inf,205361.584,92635.5,0,inf,413249.8438,249999.8281,inf,165522.3359,inf,413501.8438
Jinggaviolet3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,260782.3281,inf,112717.168,66647.5,241210.168,inf,inf,inf,inf,inf,132018.168,inf,inf,inf,inf,inf,301290.168,67775.5,inf,inf,175623.0938,inf,inf,inf,inf,inf,inf,12807,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,214376.168,inf,inf
jawapos,378584.6765,inf,inf,9577.5,406457.6765,48126.33276,378889.6765,51684.33276,380783.6765,inf,380842.6765,391200.6765,inf,63974.33276,inf,117718.3328,379810.6765,439464.1765,225347.4187,inf,inf,400883.6765,380872.6765,inf,270427.8328,106494.3328,379870.6765,211041.3328,422012.0593,380008.6765,20234.16675,inf,55797.80078,63643.33276,379978.6765,inf,378936.6765,378888.6765,inf,60664.66675,20637.42773,434125.8328,inf,inf,1165.333313,inf,59151.80078,inf,383149.01,64972.33276,68746.33276,410718.6765,49145.80078,13440.16675,405932.6765,inf,59104.33276,196756.3594,384110.6765,80627.00128,34557.33331,136229.5261,815,295,387158.8191,270062.8328,inf,98869.33276,143379.0828,inf,383408.1765,inf,652106.9265,188637.8386,35685.33331,inf,inf,143532.9271,43913.80078,1033.15387,23340.66675,6369.15387,392429.8191,inf,8123.10144,inf,390829.6765,1293.785706,inf,inf,172006.4167,59280.33276,385060.1765,inf,0,216644.6609,inf,142191.1367,inf,2242.387085
mojokdotco,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59598,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf
arjuno_ireng01,315402.2227,inf,inf,8279.666748,343275.2227,44459.22168,315707.2227,48017.22168,4891,600,317660.2227,328018.2227,inf,60307.22168,inf,114051.2217,3918,67850,210619.3359,inf,inf,337701.2227,317690.2227,inf,242057.2031,92207.5,3978,182670.7031,52195.69141,4116,14511.28613,inf,45950,59976.22168,316796.2227,inf,3044,315706.2227,inf,51898.69141,24639.42773,405755.2031,inf,inf,1488.333313,inf,49304,501.25,319966.5562,61305.22168,54459.5,39104.5,39298,11403.75,342750.2227,236,55271.25,195458.5261,8218,80411.78613,34880.33331,127463.5508,1138,618,323976.3652,241692.2031,inf,95202.22168,128651,inf,7515.5,inf,276214.25,138435.2813,36008.33331,inf,inf,143855.9271,34066,1356.15387,19673.55566,4096.549805,329247.3652,inf,8446.10144,416.5,327647.2227,1616.785706,inf,inf,156923.0313,55613.22168,9167.5,inf,4002,212811.5781,0,132343.3359,inf,2565.387085
mazzini_gsp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26834,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf
