,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI
blogdokter,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
fadjroeL,384652.84375,inf,inf,390240.5104980469,412525.84375,54194.5,384957.84375,57752.5,386851.84375,inf,386910.84375,397268.84375,inf,70042.5,inf,548625.84375,385878.84375,457992.84375,251660.0,inf,inf,406951.84375,386940.84375,inf,276496.0,112562.5,385938.84375,217109.5,428080.2265625,386076.84375,394761.84375,inf,438478.34375,69711.5,386046.84375,inf,385004.84375,384956.84375,inf,433859.53515625,0.0,440194.0,inf,inf,386617.84375,inf,441832.34375,inf,389217.17724609375,71040.5
XavierNaxa,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
hariankompas,308600.375,inf,305.5,6330.25,336473.375,48152.27734375,308905.375,51710.27734375,3614.5,862.5,2733.5,321216.375,inf,52269.19140625,inf,164448.5,2641.5,381940.375,245617.77734375,inf,inf,330899.375,2763.5,inf,270453.77734375,84156.3359375,2701.5,211067.27734375,45393.84375,2839.5,13234.7861328125,inf,55241.0,63669.27734375,1869.5,inf,1767.5,3258.5,inf,50622.19140625,21075.466796875,434151.77734375,0.0,inf,1526.5,inf,58595.0,inf,313164.70849609375,64998.27734375
JKJAVMY,416641.84375,inf,inf,422229.5104980469,53245.0,86183.5,416946.84375,89741.5,418840.84375,inf,418899.84375,429257.84375,inf,102031.5,inf,580614.84375,417867.84375,58647.66796875,283649.0,inf,inf,11481.0,418929.84375,inf,107001.1015625,144551.5,417927.84375,154246.25,460069.2265625,418065.84375,426750.84375,inf,470467.34375,101700.5,418035.84375,inf,416993.84375,416945.84375,inf,465848.53515625,31989.0,169783.296875,inf,0.0,418606.84375,130.0,473821.34375,inf,421206.17724609375,103029.5
tjhinfar21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
bharianmy,416511.84375,inf,inf,422099.5104980469,59811.0,86053.5,416816.84375,89611.5,418710.84375,inf,418769.84375,429127.84375,inf,101901.5,inf,580484.84375,417737.84375,58517.66796875,283519.0,inf,inf,18047.0,418799.84375,inf,106871.1015625,144421.5,417797.84375,154116.25,459939.2265625,417935.84375,426620.84375,inf,470337.34375,101570.5,417905.84375,inf,416863.84375,416815.84375,inf,465718.53515625,31859.0,169653.296875,inf,inf,418476.84375,0.0,473691.34375,inf,421076.17724609375,102899.5
KemenkeuRI,326330.84375,inf,inf,331918.5104980469,354203.84375,373067.62109375,326635.84375,376625.62109375,328529.84375,inf,328588.84375,338946.84375,inf,375645.53515625,inf,490303.84375,327556.84375,399670.84375,193338.0,inf,inf,348629.84375,328618.84375,inf,555265.0625,54240.5,327616.84375,495878.5625,369758.2265625,327754.84375,336439.84375,inf,380156.34375,388584.62109375,327724.84375,inf,326682.84375,326634.84375,inf,375537.53515625,345488.943359375,567627.609375,inf,inf,328295.84375,inf,0.0,inf,330895.17724609375,12718.5
YRadianto,315054.55598449707,inf,inf,7932.000076293945,342927.55598449707,49081.11067199707,315359.55598449707,52639.11067199707,4543.33332824707,252.3333282470703,317312.55598449707,327670.55598449707,inf,64929.11067199707,inf,479027.55598449707,3570.3333282470703,388394.55598449707,246546.61067199707,inf,inf,337353.55598449707,317342.55598449707,inf,271382.61067199707,91859.83332824707,3630.3333282470703,211996.11067199707,51848.02473449707,3768.3333282470703,14163.61946105957,inf,56169.83332824707,64598.11067199707,316448.55598449707,inf,2696.3333282470703,315358.55598449707,inf,51551.02473449707,26635.88801574707,435080.61067199707,inf,inf,1830.3333282470703,inf,59523.83332824707,0.0,319618.8894805908,65927.11067199707
TRANS7,412948.509765625,inf,inf,2151.0,440821.509765625,82490.166015625,413253.509765625,86048.166015625,415147.509765625,inf,415206.509765625,425564.509765625,inf,98338.166015625,inf,576921.509765625,414174.509765625,486288.509765625,279955.666015625,inf,inf,435247.509765625,415236.509765625,inf,304791.666015625,140858.166015625,414234.509765625,245405.166015625,456375.892578125,414372.509765625,423057.509765625,inf,466774.009765625,98007.166015625,414342.509765625,inf,413300.509765625,413252.509765625,inf,462155.201171875,28295.666015625,468489.666015625,inf,inf,414913.509765625,inf,470128.009765625,inf,0.0,99336.166015625
Kemenag_RI,313612.34375,inf,inf,319200.0104980469,341485.34375,360349.12109375,313917.34375,363907.12109375,315811.34375,inf,315870.34375,326228.34375,inf,362927.03515625,inf,477585.34375,314838.34375,386952.34375,180619.5,inf,inf,335911.34375,315900.34375,inf,542546.5625,41522.0,314898.34375,483160.0625,357039.7265625,315036.34375,323721.34375,inf,367437.84375,375866.12109375,315006.34375,inf,313964.34375,313916.34375,inf,362819.03515625,332770.443359375,554909.109375,inf,inf,315577.34375,inf,370791.84375,inf,318176.67724609375,0.0
