count,from,to,timeframe,start,end
177,humasgrobogan,dinkes_grobogan,105,2021-01-24 21:47:05,2021-01-31 04:55:30
178,jeparakabgoid,masandijepara,106,2021-01-24 21:50:07,2021-01-31 04:55:30
179,jeparakabgoid,dinkeskabjepara,106,2021-01-24 21:50:07,2021-01-31 04:55:30
180,salimbado9,50k,107,2021-01-24 21:52:11,2021-01-31 04:55:30
181,triwul82,kemenkesri,108,2021-01-24 22:00:01,2021-01-31 04:55:30
182,ngkongroses,kemenkesri,109,2021-01-24 22:01:00,2021-01-31 04:55:30
183,theairtimes,indiainmyanmar,110,2021-01-24 22:15:29,2021-01-31 04:55:30
184,andira_885,jokowi,111,2021-01-24 22:22:22,2021-01-31 04:55:30
185,pejuangind01,ccicpolri,112,2021-01-24 22:29:46,2021-01-31 04:55:30
186,pejuangind01,bareskrim2018,112,2021-01-24 22:29:46,2021-01-31 04:55:30
187,pejuangind01,divhumas_polri,112,2021-01-24 22:29:46,2021-01-31 04:55:30
188,triwul82,kemenkesri,113,2021-01-24 22:31:29,2021-01-31 04:55:30
189,rakyatmerdeka99,kemenkesri,114,2021-01-24 22:35:19,2021-01-31 04:55:30
190,hendriw15476021,adenan_as,115,2021-01-24 22:37:55,2021-01-31 04:55:30
191,hendriw15476021,polres_karimun,115,2021-01-24 22:37:55,2021-01-31 04:55:30
192,harianbatampos,harianbatampos,116,2021-01-24 22:44:17,2021-01-31 04:55:30
193,murianewscom,murianewscom,117,2021-01-24 22:48:26,2021-01-31 04:55:30
194,safrudintatv,dinkesjateng,118,2021-01-24 22:56:48,2021-01-31 04:55:30
195,safrudintatv,rsudsragen,118,2021-01-24 22:56:48,2021-01-31 04:55:30
196,safrudintatv,kemenkesri,118,2021-01-24 22:56:48,2021-01-31 04:55:30
197,conversationidn,ameliazein,119,2021-01-24 23:00:00,2021-01-31 04:55:30
198,hmsgabus,multimedia,120,2021-01-24 23:05:37,2021-01-31 04:55:30
199,polsekjaken12,multimedia,121,2021-01-24 23:06:11,2021-01-31 04:55:30
200,antonio26950013,multimedia,122,2021-01-24 23:06:32,2021-01-31 04:55:30
201,hadiprayitno82,sahabatibc,123,2021-01-24 23:07:21,2021-01-31 04:55:30
202,hadiprayitno82,beritabaruco,123,2021-01-24 23:07:21,2021-01-31 04:55:30
203,hadiprayitno82,kppod_jakarta,123,2021-01-24 23:07:21,2021-01-31 04:55:30
204,hadiprayitno82,roysalam,123,2021-01-24 23:07:21,2021-01-31 04:55:30
205,hadiprayitno82,autonomy_watch,123,2021-01-24 23:07:21,2021-01-31 04:55:30
206,harianbatampos,harianbatampos,124,2021-01-24 23:09:41,2021-01-31 04:55:30
207,antonio26950013,multimedia,125,2021-01-24 23:11:30,2021-01-31 04:55:30
208,tribunjogja,tribunjogja,126,2021-01-24 23:11:49,2021-01-31 04:55:30
209,juwanapolsek,multimedia,127,2021-01-24 23:12:33,2021-01-31 04:55:30
210,kangson357gmai1,multimedia,128,2021-01-24 23:12:45,2021-01-31 04:55:30
211,polres_seluma,poldabengkulu,129,2021-01-24 23:13:38,2021-01-31 04:55:30
212,reswinong,multimedia,130,2021-01-24 23:14:05,2021-01-31 04:55:30
213,reswinong,ar_syafaat,131,2021-01-24 23:14:19,2021-01-31 04:55:30
214,reswinong,multimedia,131,2021-01-24 23:14:19,2021-01-31 04:55:30
215,polseksukolilo3,multimedia,132,2021-01-24 23:14:48,2021-01-31 04:55:30
216,juwanapolsek,multimedia,133,2021-01-24 23:15:22,2021-01-31 04:55:30
217,juwanapolsek,ar_syafaat,133,2021-01-24 23:15:22,2021-01-31 04:55:30
218,polsekmargorej1,multimedia,134,2021-01-24 23:15:28,2021-01-31 04:55:30
219,kangson357gmai1,multimedia,135,2021-01-24 23:16:09,2021-01-31 04:55:30
220,kangson357gmai1,ar_syafaat,135,2021-01-24 23:16:09,2021-01-31 04:55:30
221,ratnaika0152,ar_syafaat,136,2021-01-24 23:16:11,2021-01-31 04:55:30
222,ratnaika0152,multimedia,136,2021-01-24 23:16:11,2021-01-31 04:55:30
223,ratnaika0152,multimedia,137,2021-01-24 23:16:41,2021-01-31 04:55:30
224,ratnaika0152,ar_syafaat,137,2021-01-24 23:16:41,2021-01-31 04:55:30
225,polsekmargorej1,ar_syafaat,138,2021-01-24 23:17:50,2021-01-31 04:55:30
226,polsekmargorej1,multimedia,138,2021-01-24 23:17:50,2021-01-31 04:55:30
227,polseksukolilo3,ar_syafaat,139,2021-01-24 23:17:54,2021-01-31 04:55:30
228,polseksukolilo3,multimedia,139,2021-01-24 23:17:54,2021-01-31 04:55:30
229,ratnaika0152,multimedia,140,2021-01-24 23:21:07,2021-01-31 04:55:30
230,2sekda,dinkominfopbg,141,2021-01-24 23:22:02,2021-01-31 04:55:30
231,2sekda,humpropbg,141,2021-01-24 23:22:02,2021-01-31 04:55:30
232,2sekda,sarwapramana,141,2021-01-24 23:22:02,2021-01-31 04:55:30
233,2sekda,aguswin86502061,141,2021-01-24 23:22:02,2021-01-31 04:55:30
234,2sekda,dyah_h_pratiwi,141,2021-01-24 23:22:02,2021-01-31 04:55:30
235,2sekda,prayitno_pbg,141,2021-01-24 23:22:02,2021-01-31 04:55:30
236,polsekjaken12,ar_syafaat,142,2021-01-24 23:27:22,2021-01-31 04:55:30
237,polsekjaken12,multimedia,142,2021-01-24 23:27:22,2021-01-31 04:55:30
238,rakyatmerdeka99,desrapercaya09,143,2021-01-24 23:28:04,2021-01-31 04:55:30
239,lexy20021,multimedia,144,2021-01-24 23:30:08,2021-01-31 04:55:30
240,lexy20021,ar_syafaat,144,2021-01-24 23:30:08,2021-01-31 04:55:30
241,yasmineliana19,nasdem,145,2021-01-24 23:32:17,2021-01-31 04:55:30
242,polsektambakro1,multimedia,146,2021-01-24 23:33:28,2021-01-31 04:55:30
243,polsektambakro1,ar_syafaat,146,2021-01-24 23:33:28,2021-01-31 04:55:30
244,inforiau,rtmcriau,147,2021-01-24 23:35:24,2021-01-31 04:55:30
245,diskomkabbekasi,pemkabekasi,148,2021-01-24 23:36:08,2021-01-31 04:55:30
246,diskomkabbekasi,kemenkesri,148,2021-01-24 23:36:08,2021-01-31 04:55:30
247,diskomkabbekasi,ekasupriatmaja,148,2021-01-24 23:36:08,2021-01-31 04:55:30
248,murianewscom,murianewscom,149,2021-01-24 23:42:32,2021-01-31 04:55:30
249,hmsgmb,multimedia,150,2021-01-24 23:48:45,2021-01-31 04:55:30
250,hmsgmb,multimedia,151,2021-01-24 23:50:18,2021-01-31 04:55:30
251,hmsgmb,ar_syafaat,151,2021-01-24 23:50:18,2021-01-31 04:55:30
252,rakyatmerdeka99,pbidi,152,2021-01-24 23:54:46,2021-01-31 04:55:30
253,bandungsatucom,bandungsatu,153,2021-01-24 23:55:45,2021-01-31 04:55:30
254,murianewscom,murianewscom,154,2021-01-25 00:01:55,2021-01-31 04:55:30
255,polresblora,pidpolresblora,155,2021-01-25 00:09:05,2021-01-31 04:55:30
256,polresblora,polresblora,155,2021-01-25 00:09:05,2021-01-31 04:55:30
